dataset,column,metric,value
postings_raw,_dataset,row_count,123849
postings_raw,job_id,null_count,0
postings_raw,company_id,null_count,1717
postings_raw,company_name,null_count,1719
postings_raw,title,null_count,0
postings_raw,location,null_count,0
postings_raw,formatted_work_type,null_count,0
postings_raw,formatted_experience_level,null_count,29409
postings_raw,remote_allowed,null_count,108603
postings_raw,min_salary,null_count,94056
postings_raw,max_salary,null_count,94056
postings_raw,med_salary,null_count,117569
postings_raw,pay_period,null_count,87776
postings_raw,normalized_salary,null_count,87776
postings_raw,currency,null_count,87776
postings_raw,views,null_count,1689
postings_raw,applies,null_count,100529
postings_raw,original_listed_time,null_count,0
postings_raw,zip_code,null_count,20872
postings_raw,formatted_work_type,distinct_count,7
postings_raw,formatted_experience_level,distinct_count,7
postings_raw,currency,distinct_count,7
postings_clean,_dataset,row_count,123394
postings_clean,_dataset,total_dropped,455
postings_clean,_dataset,dropped_min_salary_gt_max_salary,0
postings_clean,_dataset,dropped_normalized_salary_out_of_bounds,455
